Timestamp,X,Y
2024-09-07 21:59:28.144,692,948
2024-09-07 21:59:28.151,693,957
2024-09-07 21:59:28.160,696,963
2024-09-07 21:59:28.169,698,971
2024-09-07 21:59:28.175,701,978
2024-09-07 21:59:28.184,702,984
2024-09-07 21:59:28.192,703,991
2024-09-07 21:59:28.201,704,997
2024-09-07 21:59:28.208,706,1003
2024-09-07 21:59:28.216,708,1009
2024-09-07 21:59:28.224,711,1014
2024-09-07 21:59:28.232,712,1019
2024-09-07 21:59:28.241,713,1023
2024-09-07 21:59:28.248,714,1028
2024-09-07 21:59:28.256,716,1032
2024-09-07 21:59:28.264,717,1034
2024-09-07 21:59:28.272,717,1037
2024-09-07 21:59:28.280,718,1041
2024-09-07 21:59:28.288,719,1046
2024-09-07 21:59:28.296,721,1051
2024-09-07 21:59:28.304,723,1056
2024-09-07 21:59:28.311,724,1061
2024-09-07 21:59:28.320,724,1064
2024-09-07 21:59:28.328,726,1068
2024-09-07 21:59:28.336,727,1073
2024-09-07 21:59:28.344,727,1077
2024-09-07 21:59:28.448,727,1079
2024-09-07 21:59:28.472,725,1081
2024-09-07 21:59:28.489,723,1080
2024-09-07 21:59:28.512,720,1079
2024-09-07 21:59:28.631,718,1079
2024-09-07 21:59:28.671,715,1079
2024-09-07 21:59:28.689,713,1077
2024-09-07 21:59:28.696,713,1075
2024-09-07 21:59:28.711,713,1072
2024-09-07 21:59:28.768,713,1070
2024-09-07 21:59:28.936,713,1067
2024-09-07 21:59:28.952,713,1065
2024-09-07 21:59:28.960,713,1060
2024-09-07 21:59:28.968,713,1051
2024-09-07 21:59:28.977,713,1040
2024-09-07 21:59:28.985,713,1025
2024-09-07 21:59:28.993,710,1007
2024-09-07 21:59:29.000,710,987
2024-09-07 21:59:29.009,708,968
2024-09-07 21:59:29.015,705,950
2024-09-07 21:59:29.023,705,931
2024-09-07 21:59:29.031,703,915
2024-09-07 21:59:29.040,703,897
2024-09-07 21:59:29.048,699,880
2024-09-07 21:59:29.056,698,865
2024-09-07 21:59:29.063,695,855
2024-09-07 21:59:29.071,693,847
2024-09-07 21:59:29.079,693,841
2024-09-07 21:59:29.087,690,836
2024-09-07 21:59:29.095,690,832
2024-09-07 21:59:29.104,688,827
2024-09-07 21:59:29.112,688,822
2024-09-07 21:59:29.121,685,817
2024-09-07 21:59:29.128,683,812
2024-09-07 21:59:29.137,683,807
2024-09-07 21:59:29.144,680,802
2024-09-07 21:59:29.153,680,798
2024-09-07 21:59:29.161,678,796
2024-09-07 21:59:29.273,675,795
2024-09-07 21:59:29.280,673,795
2024-09-07 21:59:29.288,670,795
2024-09-07 21:59:29.296,670,796
2024-09-07 21:59:29.305,668,799
2024-09-07 21:59:29.312,665,803
2024-09-07 21:59:29.320,665,806
2024-09-07 21:59:29.328,663,809
2024-09-07 21:59:29.336,663,811
2024-09-07 21:59:29.344,660,814
2024-09-07 21:59:29.353,660,816
2024-09-07 21:59:29.368,658,819
2024-09-07 21:59:29.385,655,821
2024-09-07 21:59:29.392,653,824
2024-09-07 21:59:29.400,650,826
2024-09-07 21:59:29.408,648,829
2024-09-07 21:59:29.416,645,831
2024-09-07 21:59:29.424,643,834
2024-09-07 21:59:29.432,640,836
2024-09-07 21:59:29.440,638,839
2024-09-07 21:59:29.448,635,841
2024-09-07 21:59:29.456,633,844
2024-09-07 21:59:29.464,630,846
2024-09-07 21:59:29.544,628,849
2024-09-07 21:59:29.552,625,850
2024-09-07 21:59:29.848,625,850
2024-09-07 21:59:29.864,625,847
2024-09-07 21:59:29.872,626,845
2024-09-07 21:59:29.880,628,842
2024-09-07 21:59:29.888,631,838
2024-09-07 21:59:29.896,634,835
2024-09-07 21:59:29.903,638,827
2024-09-07 21:59:29.911,643,820
2024-09-07 21:59:29.920,651,811
2024-09-07 21:59:29.928,657,802
2024-09-07 21:59:29.937,664,790
2024-09-07 21:59:29.945,672,777
2024-09-07 21:59:29.953,681,763
2024-09-07 21:59:29.961,689,748
2024-09-07 21:59:29.969,698,731
2024-09-07 21:59:29.977,706,716
2024-09-07 21:59:29.985,714,700
2024-09-07 21:59:29.993,721,683
2024-09-07 21:59:30.000,727,666
2024-09-07 21:59:30.008,733,651
2024-09-07 21:59:30.016,739,636
2024-09-07 21:59:30.025,744,621
2024-09-07 21:59:30.032,749,606
2024-09-07 21:59:30.041,753,593
2024-09-07 21:59:30.047,757,583
